1657806535.038634 client started (72235): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1657806535.038683 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:45:05 PDT 2022; root:xnu-8020.101.4~15/RELEASE_X86_64
1657806535.038705 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1657806535.038739 flags are 0x18010000
1657806535.038751 socket is /private/tmp/tmux-501/default
1657806535.038765 trying connect
1657806535.038857 add peer 0x7fdb30008000: 6 (0x0)
1657806535.040472 sending message 100 to peer 0x7fdb30008000 (4 bytes)
1657806535.040495 sending message 111 to peer 0x7fdb30008000 (8 bytes)
1657806535.040506 sending message 101 to peer 0x7fdb30008000 (15 bytes)
1657806535.040516 sending message 109 to peer 0x7fdb30008000 (4 bytes)
1657806535.040525 sending message 102 to peer 0x7fdb30008000 (13 bytes)
1657806535.040535 sending message 108 to peer 0x7fdb30008000 (54 bytes)
1657806535.040544 sending message 112 to peer 0x7fdb30008000 (58 bytes)
1657806535.040553 sending message 112 to peer 0x7fdb30008000 (5 bytes)
1657806535.040562 sending message 112 to peer 0x7fdb30008000 (5 bytes)
1657806535.040571 sending message 112 to peer 0x7fdb30008000 (6 bytes)
1657806535.040580 sending message 112 to peer 0x7fdb30008000 (6 bytes)
1657806535.040589 sending message 112 to peer 0x7fdb30008000 (11 bytes)
1657806535.040598 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.040607 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.040616 sending message 112 to peer 0x7fdb30008000 (14 bytes)
1657806535.040625 sending message 112 to peer 0x7fdb30008000 (19 bytes)
1657806535.040634 sending message 112 to peer 0x7fdb30008000 (11 bytes)
1657806535.040643 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.040652 sending message 112 to peer 0x7fdb30008000 (15 bytes)
1657806535.040661 sending message 112 to peer 0x7fdb30008000 (21 bytes)
1657806535.040670 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.040679 sending message 112 to peer 0x7fdb30008000 (7 bytes)
1657806535.040688 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.040697 sending message 112 to peer 0x7fdb30008000 (7 bytes)
1657806535.040705 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.040714 sending message 112 to peer 0x7fdb30008000 (9 bytes)
1657806535.040723 sending message 112 to peer 0x7fdb30008000 (21 bytes)
1657806535.040732 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.040741 sending message 112 to peer 0x7fdb30008000 (9 bytes)
1657806535.040750 sending message 112 to peer 0x7fdb30008000 (16 bytes)
1657806535.040759 sending message 112 to peer 0x7fdb30008000 (13 bytes)
